category,process,processid,sourceip,destinationip,destinationport,source_file,source_dir,line_number,subnet,organization,country,asn,description
network_termination,Cursor.exe,11072,192.168.1.48,18.204.151.96,443,network_304_2025-12-28_08-50.log,ready,2513,18.204.151.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,44.194.86.76,443,network_304_2025-12-28_08-50.log,ready,2521,44.194.86.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,3.220.19.206,443,network_304_2025-12-28_08-50.log,ready,2565,3.220.19.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,54.209.223.199,443,network_304_2025-12-28_08-50.log,ready,2584,54.209.223.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.52.130.99,443,network_304_2025-12-28_08-50.log,ready,2595,100.52.130.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.52.33.58,443,network_304_2025-12-28_08-50.log,ready,2604,100.52.33.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,44.215.206.224,443,network_304_2025-12-28_08-50.log,ready,2625,44.215.206.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,python.exe,5540,192.168.1.48,151.101.0.223,443,network_304_2025-12-28_08-50.log,ready,2629,151.101.0.0/24,SKYCA-3,US,AS54113,"FASTLY, US"
network_connection,python.exe,5540,192.168.1.48,151.101.192.223,443,network_304_2025-12-28_08-50.log,ready,2630,151.101.192.0/24,SKYCA-3,US,AS54113,"FASTLY, US"
network_connection,Cursor.exe,11072,192.168.1.48,3.211.193.223,443,network_304_2025-12-28_08-50.log,ready,2647,3.211.193.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,1016,192.168.1.48,54.243.161.175,443,network_304_2025-12-28_08-50.log,ready,2664,54.243.161.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.51.52.105,443,network_304_2025-12-28_08-50.log,ready,2681,100.51.52.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Windsurf.exe,7544,192.168.1.48,34.149.234.98,443,network_304_2025-12-28_08-50.log,ready,2813,34.149.234.0/24,GOOGL-2,US,AS396982,"GOOGLE-CLOUD-PLATFORM, US"
